case_id,split,topic,relation,expected_status,expected_routing,claim,source_hint,template_type,allowed_for_threshold_tuning,eligible_for_holdout
DEV-INVENT-02-04,development,established_history,invented_by,REFUTES,stable_knowledge,The World Wide Web was not invented by Tim Berners-Lee.,Wikidata P61,negated_true_relation,True,False
DEV-DISCOVER-01-01,development,established_history,discovered_by,SUPPORTS,stable_knowledge,penicillin was discovered by Alexander Fleming.,Wikidata P61,canonical_support,True,False
DEV-DISCOVER-01-02,development,established_history,discovered_by,SUPPORTS,stable_knowledge,The penicillin was discovered by Alexander Fleming.,Wikidata P61,article_support,True,False
DEV-DISCOVER-01-03,development,established_history,discovered_by,REFUTES,stable_knowledge,penicillin was discovered by Galileo Galilei.,Wikidata P61,wrong_object,True,False
DEV-DISCOVER-01-04,development,established_history,discovered_by,REFUTES,stable_knowledge,penicillin was not discovered by Alexander Fleming.,Wikidata P61,negated_true_relation,True,False
DEV-BIRTH-01-01,development,established_history,born_in,SUPPORTS,stable_knowledge,Albert Einstein was born in Ulm.,Wikidata P19,canonical_support,True,False
DEV-BIRTH-01-02,development,established_history,born_in,SUPPORTS,stable_knowledge,Albert Einstein is born in Ulm.,Wikidata P19,present_support,True,False
DEV-BIRTH-01-03,development,established_history,born_in,REFUTES,stable_knowledge,Albert Einstein was born in Porbandar.,Wikidata P19,wrong_object,True,False
DEV-BIRTH-01-04,development,established_history,born_in,REFUTES,stable_knowledge,Albert Einstein was not born in Ulm.,Wikidata P19,negated_true_relation,True,False
DEV-BIRTH-02-01,development,established_history,born_in,SUPPORTS,stable_knowledge,Mahatma Gandhi was born in Porbandar.,Wikidata P19,canonical_support,True,False
DEV-BIRTH-02-02,development,established_history,born_in,SUPPORTS,stable_knowledge,Mahatma Gandhi is born in Porbandar.,Wikidata P19,present_support,True,False
DEV-BIRTH-02-03,development,established_history,born_in,REFUTES,stable_knowledge,Mahatma Gandhi was born in Stratford-upon-Avon.,Wikidata P19,wrong_object,True,False
DEV-BIRTH-02-04,development,established_history,born_in,REFUTES,stable_knowledge,Mahatma Gandhi was not born in Porbandar.,Wikidata P19,negated_true_relation,True,False
DEV-BIRTH-03-01,development,established_history,born_in,SUPPORTS,stable_knowledge,William Shakespeare was born in Stratford-upon-Avon.,Wikidata P19,canonical_support,True,False
DEV-BIRTH-03-02,development,established_history,born_in,SUPPORTS,stable_knowledge,William Shakespeare is born in Stratford-upon-Avon.,Wikidata P19,present_support,True,False
DEV-BIRTH-03-03,development,established_history,born_in,REFUTES,stable_knowledge,William Shakespeare was born in Ulm.,Wikidata P19,wrong_object,True,False
DEV-BIRTH-03-04,development,established_history,born_in,REFUTES,stable_knowledge,William Shakespeare was not born in Stratford-upon-Avon.,Wikidata P19,negated_true_relation,True,False
DEV-END-01-01,development,established_history,ended_in,SUPPORTS,stable_knowledge,World War II ended in 1945.,Wikidata P582 and National Archives,canonical_support,True,False
DEV-END-01-02,development,established_history,ended_in,SUPPORTS,stable_knowledge,World War II concluded in 1945.,Wikidata P582 and National Archives,concluded_support,True,False
DEV-END-01-03,development,established_history,ended_in,REFUTES,stable_knowledge,World War II ended in 1939.,Wikidata P582 and National Archives,wrong_object,True,False
DEV-END-01-04,development,established_history,ended_in,REFUTES,stable_knowledge,World War II did not end in 1945.,Wikidata P582 and National Archives,negated_true_relation,True,False
BOUNDARY-01,development,current_high_impact_boundary,boundary,NOT_ROUTED,other_policy_path,The election result was announced today.,Policy routing test; no factual verdict expected,boundary,True,False
BOUNDARY-02,development,current_high_impact_boundary,boundary,NOT_ROUTED,other_policy_path,The central bank changed interest rates this week.,Policy routing test; no factual verdict expected,boundary,True,False
BOUNDARY-03,development,current_high_impact_boundary,boundary,NOT_ROUTED,other_policy_path,A new vaccine was approved today.,Policy routing test; no factual verdict expected,boundary,True,False
BOUNDARY-04,development,current_high_impact_boundary,boundary,NOT_ROUTED,other_policy_path,The Supreme Court issued a new order today.,Policy routing test; no factual verdict expected,boundary,True,False
BOUNDARY-05,development,current_high_impact_boundary,boundary,NOT_ROUTED,other_policy_path,The stock price reached a new record this morning.,Policy routing test; no factual verdict expected,boundary,True,False
BOUNDARY-06,development,current_high_impact_boundary,boundary,NOT_ROUTED,other_policy_path,A disease outbreak was reported this month.,Policy routing test; no factual verdict expected,boundary,True,False
BOUNDARY-07,development,question_boundary,boundary,NOT_ROUTED,other_policy_path,Is Ottawa the capital of Canada?,Policy routing test; no factual verdict expected,boundary,True,False
BOUNDARY-08,development,question_boundary,boundary,NOT_ROUTED,other_policy_path,Does the Moon orbit Earth?,Policy routing test; no factual verdict expected,boundary,True,False
BOUNDARY-09,development,opinion_boundary,boundary,NOT_ROUTED,other_policy_path,Paris is the most beautiful capital.,Policy routing test; no factual verdict expected,boundary,True,False
BOUNDARY-10,development,opinion_boundary,boundary,NOT_ROUTED,other_policy_path,Mars is the best planet.,Policy routing test; no factual verdict expected,boundary,True,False
BOUNDARY-11,development,empty_boundary,boundary,NOT_ROUTED,other_policy_path,,Policy routing test; no factual verdict expected,boundary,True,False
BOUNDARY-12,development,unsupported_relation_boundary,boundary,NOT_ROUTED,other_policy_path,Water tastes pleasant.,Policy routing test; no factual verdict expected,boundary,True,False
