language,phrase,normalized_phrase,weight,source_page
bengali,দইুবার পড়ুন,দইুবার পড়ুন,1.0,12
bengali,দয়া কের খুলনু,দয়া কের খুলনু,1.25,11
bengali,দয়া কের পড়ুন,দয়া কের পড়ুন,1.25,11
bengali,দর কষাকিষ,দর কষাকিষ,1.0,2
bengali,দাম,দাম,1.0,11
bengali,ধন,ধন,1.0,4
bengali,ধনী,ধনী,1.0,12
bengali,ধনী হও,ধনী হও,1.0,6
bengali,ধারা 301,ধারা 301,1.0,13
bengali,নগদ,নগদ,1.0,3
bengali,নগদহীন,নগদহীন,1.0,3
bengali,নমনুা,নমনুা,1.0,13
bengali,নাক ডাকা,নাক ডাকা,1.0,13
bengali,পয়সা,পয়সা,1.0,11
bengali,পিরমাণ,পিরমাণ,1.0,1
bengali,পিরমাণ সীিমত,পিরমাণ সীিমত,1.0,12
bengali,পিরেশাধ,পিরেশাধ,1.0,11
bengali,পুেরা নতুন,পুেরা নতুন,1.0,1
bengali,পৃথক,পৃথক,1.0,13
bengali,বড় করা,বড় করা,1.0,5
bengali,বড় টাকা বাঁচান,বড় টাকা বাঁচান,1.25,13
bengali,বাইনাির,বাইনাির,1.0,2
bengali,বাছাই করা,বাছাই করা,1.0,11
bengali,বাপু,বাপু,1.0,2
bengali,বাস করার উপায়,বাস করার উপায়,1.25,15
bengali,বািকর পিরমাণ,বািকর পিরমাণ,1.0,11
bengali,বািড়েত টাকা,বািড়েত টাকা,1.0,9
bengali,বািতল,বািতল,1.0,2
bengali,বিলেরখা দরূ কের,বিলেরখা দরূ কের,1.25,12
bengali,বিশকরণ,বিশকরণ,1.0,15
bengali,বীমা ওজন হারান,বীমা ওজন হারান,1.25,7
bengali,ভর ইেমইল,ভর ইেমইল,1.0,9
bengali,ভাউচার,ভাউচার,1.0,15
bengali,ভালবাসা,ভালবাসা,1.0,8
bengali,ভােলা দাম,ভােলা দাম,1.0,2
bengali,মহান,মহান,1.0,6
bengali,মহান অফার,মহান অফার,1.0,6
bengali,মহারাজ,মহারাজ,1.0,9
bengali,মািসক আয়,মািসক আয়,1.0,5
bengali,রািশ,রািশ,1.0,12
bengali,লকু ােনা খরচ,লকু ােনা খরচ,1.25,7
bengali,লকু ােনা িফ,লকু ােনা িফ,1.25,7
bengali,লাভ,লাভ,1.0,12
bengali,লাভ কর,লাভ কর,1.0,9
bengali,সবাই এটা করেত পাে,সবাই এটা করেত পাে,1.25,5
bengali,সময় সীিমত,সময় সীিমত,1.0,14
bengali,সরবরাহ,সরবরাহ,1.0,14
bengali,সরবরাহ সীিমত,সরবরাহ সীিমত,1.0,14
bengali,সরাসির ইেমইল,সরাসির ইেমইল,1.0,4
bengali,সরাসির সরবরাহ,সরাসির সরবরাহ,1.0,4
bengali,সরাসির িকননু,সরাসির িকননু,1.0,2
bengali,সরাসির িবপণন,সরাসির িবপণন,1.0,4
bengali,সামািজক িমিডয়া উ,সামািজক িমিডয়া উ,1.25,13
bengali,সীমাহীন,সীমাহীন,1.0,14
bengali,সীিমত,সীিমত,1.0,8
bengali,সীিমত সময়,সীিমত সময়,1.0,8
bengali,সীিমত সরবরাহ,সীিমত সরবরাহ,1.0,8
bengali,সীিমত সুেযাগ,সীিমত সুেযাগ,1.0,8
bengali,সুেযাগ,সুেযাগ,1.0,11
bengali,হাজার হাজার,হাজার হাজার,1.0,14
bengali,হার,হার,1.0,12
bengali,হার তুলনা,হার তুলনা,1.0,3
bengali,িকেশার,িকেশার,1.0,14
bengali,িচিকৎসা,িচিকৎসা,1.0,9
bengali,িজেতেছ,িজেতেছ,1.0,15
bengali,িনখুতঁ,িনখুতঁ,1.0,11
bengali,িনরাময়,িনরাময়,1.0,4
bengali,িবচার,িবচার,1.0,14
bengali,িবটকন,িবটকন,1.0,2
bengali,িবটকেয়ন,িবটকেয়ন,1.0,2
bengali,িবপরীত,িবপরীত,1.0,12
bengali,িববাহ,িববাহ,1.0,9
bengali,িবল,িবল,1.0,2
bengali,িবল পিরেশাধ করেত,িবল পিরেশাধ করেত,1.25,2
bengali,িবষয় অপসারণ,িবষয় অপসারণ,1.0,12
bengali,িবষেয,িবষেয,1.0,14
bengali,িবিনেয়াগ,িবিনেয়াগ,1.0,8
bengali,িবিনেয়াগ0r,িবিনেয়াগ0r,1.0,8
bengali,িবিনেয়াগকারী,িবিনেয়াগকারী,1.0,8
bengali,িবিনেয়াগকারীেদর,িবিনেয়াগকারীেদর,1.0,8
bengali,িবিলং,িবিলং,1.0,2
bengali,িবিলয়ন,িবিলয়ন,1.0,2
bengali,িবিলয়ন ডলার,িবিলয়ন ডলার,1.0,2
bengali,িবেশষ অফার,িবেশষ অফার,1.0,13
bengali,িভআইিপ,িভআইিপ,1.0,15
bengali,িভসা,িভসা,1.0,15
bengali,িভেকািডন,িভেকািডন,1.0,15
bengali,িমিলয়ন,িমিলয়ন,1.0,9
bengali,িমিলয়ন ডলার,িমিলয়ন ডলার,1.0,9
bengali,িরেবট,িরেবট,1.0,12
bengali,িহসাব,িহসাব,1.0,1
english,% off,% off,1.0,1
english,% satisfied,% satisfied,1.0,1
english,0 down,0 down,1.0,1
english,0% risk,0% risk,1.0,1
english,0.99,0.99,1.0,1
english,0.999,0.999,1.0,1
english,100%,100%,1.0,1
english,100% free,100% free,1.5,1
english,100% money back,100% money back,1.25,1
english,100% more,100% more,1.0,1
english,100% off,100% off,1.0,1
english,100% satisfaction,100% satisfaction,1.0,1
english,100% satisfied,100% satisfied,1.0,1
english,1nvest0r,1nvest0r,1.0,1
english,1nvestor,1nvestor,1.0,1
english,50% off,50% off,1.0,1
english,a few bob,a few bob,1.25,1
english,absa bank,absa bank,1.0,1
english,absolutely free,absolutely free,1.0,1
english,accept cash cards,accept cash cards,1.25,1
english,accept credit cards,accept credit cards,1.5,1
english,access,access,1.0,1
english,access for free,access for free,1.25,1
english,access now,access now,1.0,1
english,access right away,access right away,1.25,1
english,accounts,accounts,1.0,1
english,act immediately,act immediately,1.0,1
english,act now,act now,1.5,1
english,act now while supplies last,act now while supplies last,1.5,1
english,act now!,act now!,1.5,1
english,act now! don\'t hesitate!,act now! don\'t hesitate!,1.5,1
english,action required,action required,1.0,1
english,additional income,additional income,1.0,1
english,additional money,additional money,1.0,1
english,addresses on cd,addresses on cd,1.25,1
english,affliate marketing,affliate marketing,1.0,1
english,affordable deal,affordable deal,1.0,1
english,alert me,alert me,1.0,1
english,all natural,all natural,1.0,1
english,all new,all new,1.0,1
english,all-natural,all-natural,1.0,1
english,all-new,all-new,1.0,1
english,amazing offer,amazing offer,1.0,1
english,amazon,amazon,1.0,1
english,amount,amount,1.0,1
english,amount credited,amount credited,1.0,1
english,app,app,1.0,1
english,apply here,apply here,1.0,1
english,apply now,apply now,1.0,1
english,apply now!,apply now!,1.0,1
english,apply online,apply online,1.0,1
english,apps,apps,1.0,1
english,appstore,appstore,1.0,1
english,are you tired of,are you tired of,1.25,1
english,armchair invest,armchair invest,1.0,1
english,as seen on,as seen on,1.25,1
english,as seen on oprah,as seen on oprah,1.25,1
english,as seen on tv,as seen on tv,1.25,1
english,asharamji,asharamji,1.0,1
english,ask me how,ask me how,1.25,1
english,at no cost,at no cost,1.25,1
english,atm,atm,1.0,1
english,auto email removal,auto email removal,1.25,1
english,avoice bankruptcy,avoice bankruptcy,1.0,1
english,avoid bankruptcy,avoid bankruptcy,1.0,2
english,awards office,awards office,1.0,2
english,b1tc0in,b1tc0in,1.0,2
english,bad credit,bad credit,1.0,2
english,bank transfer,bank transfer,1.5,2
english,bankruptcy,bankruptcy,1.0,2
english,bapu,bapu,1.0,2
english,bargain,bargain,1.0,2
english,be amazed,be amazed,1.0,2
english,be surprised,be surprised,1.0,2
english,be your own boss,be your own boss,1.25,2
english,become a member,become a member,1.25,2
english,before it's too late,before it's too late,1.25,2
english,being a member,being a member,1.25,2
english,believe me,believe me,1.0,2
english,beneficial offer,beneficial offer,1.0,2
english,beneficiary,beneficiary,1.0,2
english,benefited from my company,benefited from my company,1.25,2
english,best bargain,best bargain,1.0,2
english,best deal,best deal,1.0,2
english,best offer,best offer,1.0,2
english,best price,best price,1.0,2
english,best rates,best rates,1.0,2
english,best selling product of the year,best selling product of the year,1.25,2
english,big bucks,big bucks,1.0,2
english,biggest breakthrough ever,biggest breakthrough ever,1.25,2
english,bill,bill,1.0,2
english,billing,billing,1.0,2
english,billing address,billing address,1.0,2
english,billion dollars,billion dollars,1.0,2
english,bills to pay,bills to pay,1.25,2
english,binance,binance,1.0,2
english,binary,binary,1.0,2
english,bitc0in,bitc0in,1.0,2
english,bitcoin,bitcoin,1.5,2
english,bitcon,bitcon,1.0,2
english,blogging success,blogging success,1.0,2
english,blogs,blogs,1.0,2
english,bonus,bonus,1.0,2
english,bonus credited,bonus credited,1.0,2
english,brand new pager,brand new pager,1.25,2
english,breakup,breakup,1.0,2
english,btc,btc,1.0,2
english,bucks,bucks,1.0,2
english,bulk,bulk,1.0,2
english,bulk email,bulk email,1.0,2
english,business,business,1.0,2
english,business proposal,business proposal,1.0,2
english,business success,business success,1.0,2
english,buy,buy,1.0,2
english,buy direct,buy direct,1.0,2
english,buy now,buy now,1.0,2
english,buy today,buy today,1.0,2
english,buying,buying,1.0,2
english,buying judgements,buying judgements,1.0,2
english,buying judgments,buying judgments,1.0,2
english,cable converter,cable converter,1.0,2
english,call free,call free,1.0,2
english,call me,call me,1.0,2
english,call now,call now,1.0,2
english,call now!,call now!,1.0,2
english,call us,call us,1.0,2
english,calling creditors,calling creditors,1.0,2
english,can we have a minute,can we have a minute,1.25,2
english,can you help us?,can you help us?,1.25,2
english,can't live without,can't live without,1.25,2
english,cancel,cancel,1.0,2
english,cancel at any time,cancel at any time,1.25,3
english,cancel now,cancel now,1.0,3
english,cancellation required,cancellation required,1.0,3
english,cancer,cancer,1.0,3
english,cannot be combined,cannot be combined,1.25,3
english,cannot be considered spam,cannot be considered spam,1.25,3
english,card accepted,card accepted,1.0,3
english,cards accepted,cards accepted,1.0,3
english,cash,cash,1.0,3
english,cash bonus,cash bonus,1.0,3
english,cash out,cash out,1.0,3
english,cash-out,cash-out,1.0,3
english,cashcashcash,cashcashcash,1.0,3
english,cashless,cashless,1.0,3
english,casino,casino,1.0,3
english,celebrity,celebrity,1.0,3
english,cell phone cancer scam,cell phone cancer scam,1.25,3
english,cellphone cancer scam,cellphone cancer scam,1.25,3
english,cents on the dollar,cents on the dollar,1.25,3
english,cents on the dollars,cents on the dollars,1.25,3
english,certified,certified,1.0,3
english,channel,channel,1.0,3
english,cheap,cheap,1.0,3
english,cheap and nasty,cheap and nasty,1.25,3
english,cheap meds,cheap meds,1.0,3
english,check,check,1.0,3
english,check credited,check credited,1.0,3
english,cialis,cialis,1.0,3
english,claim,claim,1.0,3
english,claim now,claim now,1.0,3
english,claim your discount,claim your discount,1.25,3
english,claim your discount now!,claim your discount now!,1.25,3
english,claim your prize,claim your prize,1.5,3
english,claims,claims,1.0,3
english,clearance,clearance,1.0,3
english,click,click,1.0,3
english,click below,click below,1.0,3
english,click here link,click here link,1.5,3
english,click me to download,click me to download,1.25,3
english,click now,click now,1.0,3
english,click this link,click this link,1.25,3
english,click to find out,click to find out,1.25,3
english,click to get,click to get,1.25,3
english,click to remove,click to remove,1.25,3
english,clicking,clicking,1.0,3
english,closeout,closeout,1.0,3
english,code,code,1.0,3
english,collect,collect,1.0,3
english,collect child support,collect child support,1.25,3
english,comment,comment,1.0,3
english,compare,compare,1.0,3
english,compare now,compare now,1.0,3
english,compare online,compare online,1.0,3
english,compare rates,compare rates,1.0,3
english,compete for your business,compete for your business,1.25,3
english,competitions,competitions,1.0,3
english,confidential,confidential,1.0,3
english,confidentiality,confidentiality,1.0,3
english,confidentiality on all orders,confidentiality on all orders,1.25,3
english,congratulations,congratulations,1.0,3
english,consolidate debt,consolidate debt,1.0,3
english,consolidate your debt,consolidate your debt,1.25,3
english,contact me,contact me,1.0,3
english,contact us,contact us,1.0,3
english,contact us immediately,contact us immediately,1.25,3
english,content marketing,content marketing,1.0,3
english,contest,contest,1.0,3
english,copy accurately,copy accurately,1.0,4
english,copy dvd,copy dvd,1.0,4
english,corporate,corporate,1.0,4
english,cost,cost,1.0,4
english,coupon,coupon,1.0,4
english,covid,covid,1.0,4
english,credit,credit,1.0,4
english,credit bureaus,credit bureaus,1.0,4
english,credit card,credit card,1.5,4
english,credit card benefits,credit card benefits,1.5,4
english,credit card check,credit card check,1.5,4
english,credit card offers,credit card offers,1.5,4
english,credit cards for bad credit,credit cards for bad credit,1.5,4
english,credit check,credit check,1.0,4
english,credit or debit,credit or debit,1.25,4
english,credit report inquiry,credit report inquiry,1.25,4
english,credited,credited,1.0,4
english,crypto,crypto,1.5,4
english,cryptocurrency,cryptocurrency,1.5,4
english,cures,cures,1.0,4
english,cures baldness,cures baldness,1.0,4
english,currency,currency,1.0,4
english,cutie,cutie,1.0,4
english,daily earning,daily earning,1.0,4
english,dating site,dating site,1.0,4
english,days of the week,days of the week,1.25,4
english,deal,deal,1.0,4
english,deal breaker,deal breaker,1.0,4
english,deal ending soon,deal ending soon,1.25,4
english,dear friend,dear friend,1.0,4
english,debt,debt,1.0,4
english,deposit,deposit,1.0,4
english,details,details,1.0,4
english,dhan,dhan,1.0,4
english,diagnostic,diagnostic,1.0,4
english,different reply to,different reply to,1.25,4
english,dig up dirt on friends,dig up dirt on friends,1.25,4
english,digging up dirt on friends,digging up dirt on friends,1.25,4
english,digital marketing,digital marketing,1.0,4
english,direct delivery,direct delivery,1.0,4
english,direct email,direct email,1.0,4
english,direct marketing,direct marketing,1.0,4
english,disclaimer,disclaimer,1.0,4
english,discount,discount,1.0,4
english,divorcee,divorcee,1.0,4
english,do it now,do it now,1.25,4
english,do it today,do it today,1.25,4
english,dollars,dollars,1.0,4
english,don\'t delete,don\'t delete,1.0,4
english,don\'t waste time,don\'t waste time,1.25,4
english,don\’t hesitate,don\’t hesitate,1.0,4
english,don\’t hesitate!,don\’t hesitate!,1.0,4
english,don\’t wait,don\’t wait,1.0,4
english,donate over $,donate over $,1.25,4
english,donate over £,donate over £,1.25,4
english,donate over €,donate over €,1.25,4
english,double your,double your,1.0,4
english,double your cash,double your cash,1.25,4
english,double your income,double your income,1.25,4
english,double your leads,double your leads,1.25,4
english,double your wealth,double your wealth,1.25,4
english,download,download,1.0,4
english,downpayment,downpayment,1.0,4
english,drastically reduced,drastically reduced,1.0,4
english,dreams come,dreams come,1.0,4
english,earn,earn,1.0,4
english,earn $,earn $,1.0,4
english,earn cash,earn cash,1.0,5
english,earn extra cash,earn extra cash,1.25,5
english,earn extra income,earn extra income,1.25,5
english,earn extra profit,earn extra profit,1.25,5
english,earn fast,earn fast,1.0,5
english,earn fro,earn fro,1.0,5
english,earn from home,earn from home,1.25,5
english,earn money,earn money,1.0,5
english,earn monthly,earn monthly,1.0,5
english,earn per month,earn per month,1.25,5
english,earn per week,earn per week,1.25,5
english,earn your degree,earn your degree,1.25,5
english,earning,earning,1.0,5
english,earnings,earnings,1.0,5
english,easy income,easy income,1.0,5
english,easy terms,easy terms,1.0,5
english,ecommerce,ecommerce,1.0,5
english,eliminate bad credit,eliminate bad credit,1.25,5
english,eliminate debt,eliminate debt,1.0,5
english,email extractor,email extractor,1.0,5
english,email harvest,email harvest,1.0,5
english,email marketing,email marketing,1.0,5
english,email marketing tips,email marketing tips,1.25,5
english,emoji,emoji,1.0,5
english,enlarge,enlarge,1.0,5
english,enroll now,enroll now,1.0,5
english,eth3rium,eth3rium,1.0,5
english,etherium,etherium,1.0,5
english,euros,euros,1.0,5
english,everyone can do it,everyone can do it,1.25,5
english,exclusive deal,exclusive deal,1.0,5
english,exclusive discount,exclusive discount,1.0,5
english,exclusive offer,exclusive offer,1.0,5
english,expect to earn,expect to earn,1.25,5
english,expire,expire,1.0,5
english,expire today,expire today,1.0,5
english,expires,expires,1.0,5
english,expires today,expires today,1.0,5
english,expiring soon,expiring soon,1.0,5
english,explode your business,explode your business,1.25,5
english,extra,extra,1.0,5
english,extra cash,extra cash,1.0,5
english,extra income,extra income,1.0,5
english,extract email,extract email,1.0,5
english,f r e e,f r e e,1.25,5
english,falling interest,falling interest,1.0,5
english,fantastic,fantastic,1.0,5
english,fantastic deal,fantastic deal,1.0,5
english,fantastic offer,fantastic offer,1.0,5
english,fast,fast,1.0,5
english,fast cash,fast cash,1.0,5
english,fast money,fast money,1.0,5
english,fast viagra delivery,fast viagra delivery,1.5,5
english,final call,final call,1.0,5
english,finance,finance,1.0,5
english,financial,financial,1.0,5
english,financial freedom,financial freedom,1.0,5
english,financial general,financial general,1.0,5
english,financial independence,financial independence,1.0,5
english,financial troubles,financial troubles,1.0,5
english,financially independent,financially independent,1.0,5
english,find out anything,find out anything,1.25,5
english,flipkart,flipkart,1.0,5
english,fnb,fnb,1.0,5
english,follow,follow,1.0,5
english,follow back,follow back,1.0,5
english,follow me,follow me,1.0,5
english,for free,for free,1.0,6
english,for instant access,for instant access,1.25,6
english,for just $,for just $,1.25,6
english,for new customers only,for new customers only,1.25,6
english,for only,for only,1.0,6
english,for you,for you,1.0,6
english,foreclosure,foreclosure,1.0,6
english,forex,forex,1.0,6
english,form,form,1.0,6
english,fortune teller,fortune teller,1.0,6
english,free,free,1.0,6
english,free access,free access,1.0,6
english,free and free,free and free,1.25,6
english,free bonus,free bonus,1.0,6
english,free call,free call,1.0,6
english,free cash,free cash,1.0,6
english,free cell phone,free cell phone,1.25,6
english,free consultation,free consultation,1.0,6
english,free dvd,free dvd,1.0,6
english,free ebook download,free ebook download,1.25,6
english,free gift,free gift,1.0,6
english,free gifts,free gifts,1.0,6
english,free grant money,free grant money,1.25,6
english,free hosting,free hosting,1.0,6
english,free info,free info,1.0,6
english,free information,free information,1.0,6
english,free installation,free installation,1.0,6
english,free instant,free instant,1.0,6
english,free investment,free investment,1.0,6
english,free iphone,free iphone,1.0,6
english,free laptop,free laptop,1.0,6
english,free leads,free leads,1.0,6
english,free macbook,free macbook,1.0,6
english,free membership,free membership,1.0,6
english,free money,free money,1.0,6
english,free offer,free offer,1.0,6
english,free preview,free preview,1.0,6
english,free priority mail,free priority mail,1.25,6
english,free quote,free quote,1.0,6
english,free sample,free sample,1.0,6
english,free search engine listings,free search engine listings,1.25,6
english,free trial,free trial,1.0,6
english,free trial period,free trial period,1.25,6
english,free web traffic,free web traffic,1.25,6
english,free website,free website,1.0,6
english,free!,free!,1.0,6
english,freedom,freedom,1.0,6
english,friday before,friday before,1.0,6
english,full refund,full refund,1.0,6
english,fund,fund,1.0,6
english,fundraiser,fundraiser,1.0,6
english,gambling,gambling,1.0,6
english,get it away,get it away,1.25,6
english,get it now,get it now,1.25,6
english,get it today,get it today,1.25,6
english,get money,get money,1.0,6
english,get now,get now,1.0,6
english,get out of debt,get out of debt,1.25,6
english,get out of debt now,get out of debt now,1.25,6
english,get paid,get paid,1.0,6
english,get rich,get rich,1.0,6
english,get rid of debt,get rid of debt,1.25,6
english,get started,get started,1.0,6
english,get started now,get started now,1.25,6
english,get upto,get upto,1.0,6
english,get your money,get your money,1.25,6
english,gift card,gift card,1.0,6
english,gift cards for bitcoins,gift cards for bitcoins,1.5,7
english,gift certificate,gift certificate,1.0,7
english,gift included,gift included,1.0,7
english,give away,give away,1.0,7
english,give it away,give it away,1.25,7
english,giveaway,giveaway,1.0,7
english,giving away,giving away,1.0,7
english,giving it away,giving it away,1.25,7
english,gold,gold,1.0,7
english,google ranking,google ranking,1.0,7
english,great,great,1.0,7
english,great deal,great deal,1.0,7
english,great offer,great offer,1.0,7
english,growth hormone,growth hormone,1.0,7
english,guarantee,guarantee,1.0,7
english,guaranteed,guaranteed,1.0,7
english,guaranteed deposit,guaranteed deposit,1.0,7
english,guaranteed income,guaranteed income,1.5,7
english,guaranteed payment,guaranteed payment,1.0,7
english,guaranteed to work,guaranteed to work,1.25,7
english,guarantees,guarantees,1.0,7
english,hardcore,hardcore,1.0,7
english,have you been turned down?,have you been turned down?,1.25,7
english,hello,hello,1.0,7
english,help me,help me,1.0,7
english,here are some examples,here are some examples,1.25,7
english,hidden,hidden,1.0,7
english,hidden assets,hidden assets,1.0,7
english,hidden charges,hidden charges,1.0,7
english,hidden costs,hidden costs,1.0,7
english,hidden fees,hidden fees,1.0,7
english,high rollers,high rollers,1.0,7
english,high score,high score,1.0,7
english,high-score,high-score,1.0,7
english,hindu jagriti,hindu jagriti,1.0,7
english,home based,home based,1.0,7
english,home based business,home based business,1.25,7
english,home business,home business,1.0,7
english,home employment,home employment,1.0,7
english,home loan,home loan,1.0,7
english,home mortgage,home mortgage,1.0,7
english,home refinancing,home refinancing,1.0,7
english,home-based,home-based,1.0,7
english,home-based business,home-based business,1.0,7
english,homebased business,homebased business,1.0,7
english,homeloan,homeloan,1.0,7
english,hot babes,hot babes,1.0,7
english,hottie,hottie,1.0,7
english,how to get traffic,how to get traffic,1.25,7
english,huge discount,huge discount,1.0,7
english,human growth hormone,human growth hormone,1.25,7
english,hurry up,hurry up,1.0,7
english,husband and wife,husband and wife,1.25,7
english,husband wife problems,husband wife problems,1.25,7
english,immediately,immediately,1.0,7
english,important information,important information,1.0,7
english,important information regarding,important information regarding,1.25,7
english,important notification,important notification,1.0,7
english,impotence,impotence,1.0,7
english,in accordance with laws,in accordance with laws,1.25,7
english,inaam,inaam,1.0,7
english,inam,inam,1.0,7
english,income,income,1.0,7
english,income from home,income from home,1.25,7
english,increase income,increase income,1.0,7
english,increase revenue,increase revenue,1.0,7
english,increase sales,increase sales,1.0,7
english,increase traffic,increase traffic,1.0,8
english,increase your chances,increase your chances,1.25,8
english,increase your sales,increase your sales,1.25,8
english,incredible deal,incredible deal,1.0,8
english,info you requested,info you requested,1.25,8
english,information you requested,information you requested,1.25,8
english,initial investment,initial investment,1.0,8
english,install,install,1.0,8
english,instant,instant,1.0,8
english,instant access,instant access,1.0,8
english,instant cash,instant cash,1.0,8
english,instant delivery,instant delivery,1.0,8
english,instant earnings,instant earnings,1.0,8
english,instant income,instant income,1.0,8
english,instant offers,instant offers,1.0,8
english,instant weight loss,instant weight loss,1.25,8
english,instant withdrawals,instant withdrawals,1.0,8
english,instantly,instantly,1.0,8
english,insurance,insurance,1.0,8
english,insurance lose weight,insurance lose weight,1.25,8
english,interested,interested,1.0,8
english,internet market,internet market,1.0,8
english,internet marketing,internet marketing,1.0,8
english,inventory reduction,inventory reduction,1.0,8
english,invest,invest,1.0,8
english,invest0r,invest0r,1.0,8
english,investment,investment,1.0,8
english,investment advice,investment advice,1.0,8
english,investment app,investment app,1.0,8
english,investment decision,investment decision,1.0,8
english,investor,investor,1.0,8
english,investors,investors,1.0,8
english,invoice,invoice,1.0,8
english,it's effective,it's effective,1.0,8
english,jackpot,jackpot,1.0,8
english,job alert,job alert,1.0,8
english,job offer,job offer,1.0,8
english,join,join,1.0,8
english,join billions,join billions,1.0,8
english,join millions,join millions,1.0,8
english,join millions of americans,join millions of americans,1.25,8
english,join millions of people,join millions of people,1.25,8
english,join this link,join this link,1.25,8
english,join thousands,join thousands,1.0,8
english,junk,junk,1.0,8
english,kabir,kabir,1.0,8
english,kamaane,kamaane,1.0,8
english,kamana,kamana,1.0,8
english,kamao,kamao,1.0,8
english,khata,khata,1.0,8
english,khate,khate,1.0,8
english,kinky,kinky,1.0,8
english,kutumb,kutumb,1.0,8
english,kutumb app,kutumb app,1.0,8
english,lambo,lambo,1.0,8
english,laser printer,laser printer,1.0,8
english,last chance,last chance,1.0,8
english,last day,last day,1.0,8
english,legal notice,legal notice,1.0,8
english,levitra,levitra,1.0,8
english,life insurance,life insurance,1.0,8
english,lifetime,lifetime,1.0,8
english,lifetime access,lifetime access,1.0,8
english,lifetime deal,lifetime deal,1.0,8
english,limited,limited,1.0,8
english,limited amount,limited amount,1.0,8
english,limited number,limited number,1.0,8
english,limited offer,limited offer,1.0,9
english,limited supply,limited supply,1.0,9
english,limited time,limited time,1.5,9
english,limited time deal,limited time deal,1.5,9
english,limited time offer,limited time offer,1.5,9
english,limited time only,limited time only,1.5,9
english,link,link,1.0,9
english,link given,link given,1.0,9
english,loan,loan,1.0,9
english,loan approved,loan approved,1.0,9
english,loans,loans,1.0,9
english,long distance,long distance,1.0,9
english,long distance phone number,long distance phone number,1.25,9
english,long distance phone offer,long distance phone offer,1.25,9
english,long-term relationship,long-term relationship,1.0,9
english,looking for love,looking for love,1.25,9
english,looking for my soulmate,looking for my soulmate,1.25,9
english,los weight fast,los weight fast,1.25,9
english,lose weight,lose weight,1.0,9
english,lose weight fast,lose weight fast,1.25,9
english,lose weight instantly,lose weight instantly,1.25,9
english,lose weight spam,lose weight spam,1.25,9
english,lottery,lottery,1.0,9
english,lotto,lotto,1.0,9
english,love,love,1.0,9
english,loveproblemsolutionspecialist,loveproblemsolutionspecialist,1.0,9
english,low insurance premium,low insurance premium,1.25,9
english,low interest rates,low interest rates,1.25,9
english,low mortgage rates,low mortgage rates,1.25,9
english,low prices,low prices,1.0,9
english,lower interest,lower interest,1.0,9
english,lower interest rate,lower interest rate,1.25,9
english,lower interest rates,lower interest rates,1.25,9
english,lower monthly payment,lower monthly payment,1.25,9
english,lower monthly payments,lower monthly payments,1.25,9
english,lower rates,lower rates,1.0,9
english,lower your mortgage rate,lower your mortgage rate,1.25,9
english,lowest insurance rates,lowest insurance rates,1.25,9
english,lowest interest rate,lowest interest rate,1.25,9
english,lowest price,lowest price,1.0,9
english,lowest price ever,lowest price ever,1.25,9
english,lowest prices,lowest prices,1.0,9
english,lowest rate,lowest rate,1.0,9
english,lowest rates,lowest rates,1.0,9
english,luxury car,luxury car,1.0,9
english,maharaj,maharaj,1.0,9
english,mail in order form,mail in order form,1.25,9
english,make $,make $,1.0,9
english,make money,make money,1.5,9
english,make money online,make money online,1.5,9
english,make more money,make more money,1.25,9
english,make profit,make profit,1.0,9
english,mark this as not junk,mark this as not junk,1.25,9
english,marked down,marked down,1.0,9
english,marketing,marketing,1.0,9
english,marketing solution,marketing solution,1.0,9
english,marketing solutions,marketing solutions,1.0,9
english,marketing success,marketing success,1.0,9
english,marketing tools,marketing tools,1.0,9
english,marriage,marriage,1.0,9
english,marriage material,marriage material,1.0,9
english,mass email,mass email,1.0,9
english,mastercard,mastercard,1.0,9
english,mature,mature,1.0,9
english,maximum,maximum,1.0,9
english,medical,medical,1.0,9
english,medicine,medicine,1.0,9
english,medium,medium,1.0,10
english,meet girls,meet girls,1.0,10
english,meet me,meet me,1.0,10
english,meet singles,meet singles,1.0,10
english,meet women,meet women,1.0,10
english,member,member,1.0,10
english,member stuff,member stuff,1.0,10
english,message from,message from,1.0,10
english,million dollars,million dollars,1.0,10
english,million email addresses,million email addresses,1.25,10
english,minimum,minimum,1.0,10
english,miracle,miracle,1.0,10
english,mirror trading,mirror trading,1.0,10
english,mlm,mlm,1.0,10
english,mobile number,mobile number,1.0,10
english,money,money,1.0,10
english,money at home,money at home,1.25,10
english,money back,money back,1.0,10
english,money fast,money fast,1.0,10
english,money making,money making,1.0,10
english,money order,money order,1.0,10
english,money 💰,money 💰,1.0,10
english,money-back guarantee,money-back guarantee,1.0,10
english,money-making,money-making,1.0,10
english,month trial offer,month trial offer,1.25,10
english,monthly payment,monthly payment,1.0,10
english,more internet traffic,more internet traffic,1.25,10
english,mortgage,mortgage,1.0,10
english,mortgage network,mortgage network,1.0,10
english,mortgage rate,mortgage rate,1.0,10
english,mortgage rates,mortgage rates,1.0,10
english,moving on to the next category.,moving on to the next category.,1.25,10
english,multi level marketing,multi level marketing,1.25,10
english,multi-level marketing,multi-level marketing,1.0,10
english,multilevel marketing,multilevel marketing,1.0,10
english,near you,near you,1.0,10
english,never before,never before,1.0,10
english,new customers only,new customers only,1.25,10
english,new domain extensions,new domain extensions,1.25,10
