id,content_type,text,category,severity,action,human_review_required,grey_case,reason,policy_version
TEX-0149,text,The instructions tell users to disable antivirus and install a trojan. Synthetic variation 8.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0150,text,The comment contains obfuscated abusive words directed at an individual. Synthetic variation 8.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0151,text,The content describes physical harm being directed at a child. Synthetic variation 8.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0152,text,A medical lesson contains a non-explicit anatomy illustration. Synthetic variation 8.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0153,text,A post tells users to burn another community's religious book. Synthetic variation 9.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0154,text,A post says that a protected group is inferior. Synthetic variation 9.,Hate Speech & Discrimination,High,Flag and send for human review,True,True,"The content contains indicators of Hate Speech & Discrimination, but the final enforcement decision requires human review.",2026.08
TEX-0155,text,A post praises a banned terrorist organization and asks users to join. Synthetic variation 9.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0156,text,A person sends the direct threat: I will kill you tonight. Synthetic variation 9.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0157,text,The video tells viewers to try a dangerous stunt without safety equipment. Synthetic variation 9.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0158,text,The content contains explicit adult sexual imagery. Synthetic variation 9.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0159,text,A user repeatedly demands that another person send nude pictures. Synthetic variation 9.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0160,text,A user repeatedly tells another person that they are worthless. Synthetic variation 9.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0161,text,A private video was secretly recorded and shared without consent. Synthetic variation 9.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0162,text,A post offers illegal drugs for sale. Synthetic variation 9.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0163,text,A post exposes another person's Aadhaar card number without permission. Synthetic variation 9.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0164,text,An account impersonates a bank representative to deceive customers. Synthetic variation 9.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0165,text,A fabricated report presents a made-up public event as fact. Synthetic variation 9.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0166,text,URGENT! Claim your prize now by sending your OTP on WhatsApp. Synthetic variation 9.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0167,text,A post distributes a pirated movie download without authorization. Synthetic variation 9.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0168,text,A post provides a link to download credential-stealing malware. Synthetic variation 9.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0169,text,A user directly tells another person: you are a disgusting idiot. Synthetic variation 9.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0170,text,An adult asks a minor to keep their private conversation secret. Synthetic variation 9.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0171,text,A news report discusses violence without showing graphic imagery. Synthetic variation 9.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0172,text,The message encourages people to destroy a religious symbol. Synthetic variation 10.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0173,text,The message calls for a religious group to be excluded from society. Synthetic variation 10.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0174,text,The message requests donations for a terrorist organization. Synthetic variation 10.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0175,text,The content graphically depicts a person being tortured. Synthetic variation 10.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0176,text,A post encourages users to jump from a roof as part of a challenge. Synthetic variation 10.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0177,text,The image description indicates visible genitalia outside an allowed context. Synthetic variation 10.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0178,text,The message contains an unwanted request for a sexual favour. Synthetic variation 10.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0179,text,Several accounts coordinate to publicly humiliate one individual. Synthetic variation 10.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0180,text,The content contains a leaked intimate video posted without consent. Synthetic variation 10.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0181,text,The message advertises an unapproved medicine as a guaranteed cure. Synthetic variation 10.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0182,text,The content publishes someone's credit card number and contact details. Synthetic variation 10.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0183,text,A fake customer-support profile pretends to represent a company. Synthetic variation 10.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0184,text,A manipulated headline makes a claim unsupported by the article. Synthetic variation 10.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0185,text,A fake banking message asks the recipient to share their password. Synthetic variation 10.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0186,text,The content offers counterfeit products using a protected trademark. Synthetic variation 10.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0187,text,The content distributes a ransomware payload intended to compromise devices. Synthetic variation 10.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0188,text,The message calls a targeted person a stupid loser and piece of trash. Synthetic variation 10.,Abusive Words,Medium,Flag and send for human review,True,True,"The content contains indicators of Abusive Words, but the final enforcement decision requires human review.",2026.08
TEX-0189,text,An account asks a child to send private personal images. Synthetic variation 10.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0190,text,A video shows a person demonstrating a harmless hobby. Synthetic variation 10.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0191,text,A user posts denigrating abuse directed at a religious prophet. Synthetic variation 11.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0192,text,A user attacks people because of their race and nationality. Synthetic variation 11.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0193,text,The content distributes extremist recruitment propaganda. Synthetic variation 11.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0194,text,The image description contains visible internal organs after an attack. Synthetic variation 11.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0195,text,The content gives instructions to cause an explosion at home. Synthetic variation 11.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0196,text,A post promotes a website selling explicit pornographic material. Synthetic variation 11.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0197,text,A person sends sexually explicit messages after being asked to stop. Synthetic variation 11.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0198,text,A person threatens to share private messages to embarrass someone. Synthetic variation 11.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0199,text,A hidden-camera recording shows a person's private moment. Synthetic variation 11.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0200,text,A user advertises a gun for sale without a license. Synthetic variation 11.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0201,text,A user leaks another person's private email address and phone number. Synthetic variation 11.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0202,text,A user operates an account using another person's stolen identity. Synthetic variation 11.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0203,text,The post promotes a false medical claim as a confirmed cure. Synthetic variation 11.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0204,text,An unsolicited promotion promises guaranteed income and requests a fee. Synthetic variation 11.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0205,text,A user sells unauthorized copies of copyrighted software. Synthetic variation 11.,Intellectual Property Infringement,Medium,Flag and send for human review,True,True,"The content contains indicators of Intellectual Property Infringement, but the final enforcement decision requires human review.",2026.08
TEX-0206,text,A user shares a phishing kit for stealing account credentials. Synthetic variation 11.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0207,text,A user repeatedly describes another person as worthless and pathetic. Synthetic variation 11.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0208,text,A user asks a minor to move to a private app and not tell their parents. Synthetic variation 11.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0209,text,A user shares a photograph of a meal with friends. Synthetic variation 11.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0210,text,The content celebrates damage to a place of worship. Synthetic variation 12.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0211,text,The content describes an ethnic group as not human. Synthetic variation 12.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0212,text,A user provides instructions intended to support a terrorist attack. Synthetic variation 12.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0213,text,A user says they are going to stab a specific person. Synthetic variation 12.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0214,text,A user encourages another person to physically harm themselves. Synthetic variation 12.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0215,text,The content contains a morphed sexual image of an adult. Synthetic variation 12.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0216,text,The content threatens consequences unless a person agrees to sexual activity. Synthetic variation 12.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0217,text,A user repeatedly pressures someone to provide their phone number. Synthetic variation 12.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0218,text,A person reports that their private photograph was uploaded without consent. Synthetic variation 12.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0219,text,The content promotes an illegal foreign gambling website. Synthetic variation 12.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0220,text,The image contains an unredacted bank account statement. Synthetic variation 12.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0221,text,The profile impersonates a public figure without a parody label. Synthetic variation 12.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0222,text,A fake election result is presented as an official announcement. Synthetic variation 12.,Misinformation & Fake News,Medium,Flag and send for human review,True,True,"The content contains indicators of Misinformation & Fake News, but the final enforcement decision requires human review.",2026.08
TEX-0223,text,A repeated message tells users to click a suspicious payment link. Synthetic variation 12.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0224,text,The message provides an illegal download of copyrighted material. Synthetic variation 12.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0225,text,The instructions tell users to disable antivirus and install a trojan. Synthetic variation 12.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0226,text,The comment contains obfuscated abusive words directed at an individual. Synthetic variation 12.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0227,text,The content describes physical harm being directed at a child. Synthetic variation 12.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0228,text,A teacher posts an ordinary classroom announcement. Synthetic variation 12.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0229,text,A post tells users to burn another community's religious book. Synthetic variation 13.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0230,text,A post says that a protected group is inferior. Synthetic variation 13.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0231,text,A post praises a banned terrorist organization and asks users to join. Synthetic variation 13.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0232,text,A person sends the direct threat: I will kill you tonight. Synthetic variation 13.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0233,text,The video tells viewers to try a dangerous stunt without safety equipment. Synthetic variation 13.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0234,text,The content contains explicit adult sexual imagery. Synthetic variation 13.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0235,text,A user repeatedly demands that another person send nude pictures. Synthetic variation 13.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0236,text,A user repeatedly tells another person that they are worthless. Synthetic variation 13.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0237,text,A private video was secretly recorded and shared without consent. Synthetic variation 13.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0238,text,A post offers illegal drugs for sale. Synthetic variation 13.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0239,text,A post exposes another person's Aadhaar card number without permission. Synthetic variation 13.,Publishing Private Information,High,Flag and send for human review,True,True,"The content contains indicators of Publishing Private Information, but the final enforcement decision requires human review.",2026.08
TEX-0240,text,An account impersonates a bank representative to deceive customers. Synthetic variation 13.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0241,text,A fabricated report presents a made-up public event as fact. Synthetic variation 13.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0242,text,URGENT! Claim your prize now by sending your OTP on WhatsApp. Synthetic variation 13.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0243,text,A post distributes a pirated movie download without authorization. Synthetic variation 13.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0244,text,A post provides a link to download credential-stealing malware. Synthetic variation 13.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0245,text,A user directly tells another person: you are a disgusting idiot. Synthetic variation 13.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0246,text,An adult asks a minor to keep their private conversation secret. Synthetic variation 13.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0247,text,A customer asks a business about its opening hours. Synthetic variation 13.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0248,text,The message encourages people to destroy a religious symbol. Synthetic variation 14.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0249,text,The message calls for a religious group to be excluded from society. Synthetic variation 14.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0250,text,The message requests donations for a terrorist organization. Synthetic variation 14.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0251,text,The content graphically depicts a person being tortured. Synthetic variation 14.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0252,text,A post encourages users to jump from a roof as part of a challenge. Synthetic variation 14.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0253,text,The image description indicates visible genitalia outside an allowed context. Synthetic variation 14.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0254,text,The message contains an unwanted request for a sexual favour. Synthetic variation 14.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0255,text,Several accounts coordinate to publicly humiliate one individual. Synthetic variation 14.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0256,text,The content contains a leaked intimate video posted without consent. Synthetic variation 14.,Invasion of Privacy,High,Flag and send for human review,True,True,"The content contains indicators of Invasion of Privacy, but the final enforcement decision requires human review.",2026.08
TEX-0257,text,The message advertises an unapproved medicine as a guaranteed cure. Synthetic variation 14.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0258,text,The content publishes someone's credit card number and contact details. Synthetic variation 14.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0259,text,A fake customer-support profile pretends to represent a company. Synthetic variation 14.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0260,text,A manipulated headline makes a claim unsupported by the article. Synthetic variation 14.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0261,text,A fake banking message asks the recipient to share their password. Synthetic variation 14.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0262,text,The content offers counterfeit products using a protected trademark. Synthetic variation 14.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0263,text,The content distributes a ransomware payload intended to compromise devices. Synthetic variation 14.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0264,text,The message calls a targeted person a stupid loser and piece of trash. Synthetic variation 14.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0265,text,An account asks a child to send private personal images. Synthetic variation 14.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0266,text,A person tells a friend: you are a winner and you are born to rule. Synthetic variation 14.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0267,text,A user posts denigrating abuse directed at a religious prophet. Synthetic variation 15.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0268,text,A user attacks people because of their race and nationality. Synthetic variation 15.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0269,text,The content distributes extremist recruitment propaganda. Synthetic variation 15.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0270,text,The image description contains visible internal organs after an attack. Synthetic variation 15.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0271,text,The content gives instructions to cause an explosion at home. Synthetic variation 15.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0272,text,A post promotes a website selling explicit pornographic material. Synthetic variation 15.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0273,text,A person sends sexually explicit messages after being asked to stop. Synthetic variation 15.,Sexual Harassment,High,Flag and send for human review,True,True,"The content contains indicators of Sexual Harassment, but the final enforcement decision requires human review.",2026.08
TEX-0274,text,A person threatens to share private messages to embarrass someone. Synthetic variation 15.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0275,text,A hidden-camera recording shows a person's private moment. Synthetic variation 15.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0276,text,A user advertises a gun for sale without a license. Synthetic variation 15.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0277,text,A user leaks another person's private email address and phone number. Synthetic variation 15.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0278,text,A user operates an account using another person's stolen identity. Synthetic variation 15.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0279,text,The post promotes a false medical claim as a confirmed cure. Synthetic variation 15.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0280,text,An unsolicited promotion promises guaranteed income and requests a fee. Synthetic variation 15.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0281,text,A user sells unauthorized copies of copyrighted software. Synthetic variation 15.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0282,text,A user shares a phishing kit for stealing account credentials. Synthetic variation 15.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0283,text,A user repeatedly describes another person as worthless and pathetic. Synthetic variation 15.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0284,text,A user asks a minor to move to a private app and not tell their parents. Synthetic variation 15.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0285,text,A cybersecurity lesson says never to share an OTP or password. Synthetic variation 15.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0286,text,The content celebrates damage to a place of worship. Synthetic variation 16.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0287,text,The content describes an ethnic group as not human. Synthetic variation 16.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0288,text,A user provides instructions intended to support a terrorist attack. Synthetic variation 16.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0289,text,A user says they are going to stab a specific person. Synthetic variation 16.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0290,text,A user encourages another person to physically harm themselves. Synthetic variation 16.,Dangerous Content,High,Flag and send for human review,True,True,"The content contains indicators of Dangerous Content, but the final enforcement decision requires human review.",2026.08
TEX-0291,text,The content contains a morphed sexual image of an adult. Synthetic variation 16.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0292,text,The content threatens consequences unless a person agrees to sexual activity. Synthetic variation 16.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0293,text,A user repeatedly pressures someone to provide their phone number. Synthetic variation 16.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0294,text,A person reports that their private photograph was uploaded without consent. Synthetic variation 16.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0295,text,The content promotes an illegal foreign gambling website. Synthetic variation 16.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0296,text,The image contains an unredacted bank account statement. Synthetic variation 16.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
