id,content_type,file_name,image_caption,ocr_text,visual_signals,category,severity,action,human_review_required,grey_case,reason,policy_version
IMA-0095,image,sample_image_0095.png,A cybersecurity lesson says never to share an OTP or password.,A cybersecurity lesson says never to share an OTP or password.,Safe synthetic visual description for the Normal/Ignore policy category. No raw harmful media is stored.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
IMA-0096,image,sample_image_0096.webp,The message encourages people to destroy a religious symbol.,The message encourages people to destroy a religious symbol.,Safe synthetic visual description for the Religiously Offensive Content policy category. No raw harmful media is stored.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
IMA-0097,image,sample_image_0097.jpg,The message calls for a religious group to be excluded from society.,,Safe synthetic visual description for the Hate Speech & Discrimination policy category. No raw harmful media is stored.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
IMA-0098,image,sample_image_0098.png,The message requests donations for a terrorist organization.,The message requests donations for a terrorist organization.,Safe synthetic visual description for the Terrorism & Extremism policy category. No raw harmful media is stored.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
IMA-0099,image,sample_image_0099.webp,The content graphically depicts a person being tortured.,The content graphically depicts a person being tortured.,Safe synthetic visual description for the Violent Content policy category. No raw harmful media is stored.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
IMA-0100,image,sample_image_0100.jpg,A post encourages users to jump from a roof as part of a challenge.,A post encourages users to jump from a roof as part of a challenge.,Safe synthetic visual description for the Dangerous Content policy category. No raw harmful media is stored.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
IMA-0101,image,sample_image_0101.png,The image description indicates visible genitalia outside an allowed context.,,"Safe synthetic visual description for the Graphic, Obscene & Sexual Content policy category. No raw harmful media is stored.","Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
IMA-0102,image,sample_image_0102.webp,The message contains an unwanted request for a sexual favour.,The message contains an unwanted request for a sexual favour.,Safe synthetic visual description for the Sexual Harassment policy category. No raw harmful media is stored.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
IMA-0103,image,sample_image_0103.jpg,Several accounts coordinate to publicly humiliate one individual.,Several accounts coordinate to publicly humiliate one individual.,Safe synthetic visual description for the Cyberbullying & Harassment policy category. No raw harmful media is stored.,Cyberbullying & Harassment,Medium,Flag and send for human review,True,True,"The content contains indicators of Cyberbullying & Harassment, but the final enforcement decision requires human review.",2026.08
IMA-0104,image,sample_image_0104.png,The content contains a leaked intimate video posted without consent.,The content contains a leaked intimate video posted without consent.,Safe synthetic visual description for the Invasion of Privacy policy category. No raw harmful media is stored.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
IMA-0105,image,sample_image_0105.webp,The message advertises an unapproved medicine as a guaranteed cure.,,Safe synthetic visual description for the Illegal Activities policy category. No raw harmful media is stored.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
IMA-0106,image,sample_image_0106.jpg,The content publishes someone's credit card number and contact details.,The content publishes someone's credit card number and contact details.,Safe synthetic visual description for the Publishing Private Information policy category. No raw harmful media is stored.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
IMA-0107,image,sample_image_0107.png,A fake customer-support profile pretends to represent a company.,A fake customer-support profile pretends to represent a company.,Safe synthetic visual description for the Identity Theft & Impersonation policy category. No raw harmful media is stored.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
IMA-0108,image,sample_image_0108.webp,A manipulated headline makes a claim unsupported by the article.,A manipulated headline makes a claim unsupported by the article.,Safe synthetic visual description for the Misinformation & Fake News policy category. No raw harmful media is stored.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
IMA-0109,image,sample_image_0109.jpg,A fake banking message asks the recipient to share their password.,,"Safe synthetic visual description for the Spam, Scam & Phishing policy category. No raw harmful media is stored.","Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
IMA-0110,image,sample_image_0110.png,The content offers counterfeit products using a protected trademark.,The content offers counterfeit products using a protected trademark.,Safe synthetic visual description for the Intellectual Property Infringement policy category. No raw harmful media is stored.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
IMA-0111,image,sample_image_0111.webp,The content distributes a ransomware payload intended to compromise devices.,The content distributes a ransomware payload intended to compromise devices.,Safe synthetic visual description for the Malicious Programs policy category. No raw harmful media is stored.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
IMA-0112,image,sample_image_0112.jpg,The message calls a targeted person a stupid loser and piece of trash.,The message calls a targeted person a stupid loser and piece of trash.,Safe synthetic visual description for the Abusive Words policy category. No raw harmful media is stored.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
IMA-0113,image,sample_image_0113.png,An account asks a child to send private personal images.,,Safe synthetic visual description for the Child Exploitation policy category. No raw harmful media is stored.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
IMA-0114,image,sample_image_0114.webp,A verified report corrects a previously circulated false claim.,A verified report corrects a previously circulated false claim.,Safe synthetic visual description for the Normal/Ignore policy category. No raw harmful media is stored.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
IMA-0115,image,sample_image_0115.jpg,A user posts denigrating abuse directed at a religious prophet.,A user posts denigrating abuse directed at a religious prophet.,Safe synthetic visual description for the Religiously Offensive Content policy category. No raw harmful media is stored.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
IMA-0116,image,sample_image_0116.png,A user attacks people because of their race and nationality.,A user attacks people because of their race and nationality.,Safe synthetic visual description for the Hate Speech & Discrimination policy category. No raw harmful media is stored.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
IMA-0117,image,sample_image_0117.webp,The content distributes extremist recruitment propaganda.,,Safe synthetic visual description for the Terrorism & Extremism policy category. No raw harmful media is stored.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
IMA-0118,image,sample_image_0118.jpg,The image description contains visible internal organs after an attack.,The image description contains visible internal organs after an attack.,Safe synthetic visual description for the Violent Content policy category. No raw harmful media is stored.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
IMA-0119,image,sample_image_0119.png,The content gives instructions to cause an explosion at home.,The content gives instructions to cause an explosion at home.,Safe synthetic visual description for the Dangerous Content policy category. No raw harmful media is stored.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
IMA-0120,image,sample_image_0120.webp,A post promotes a website selling explicit pornographic material.,A post promotes a website selling explicit pornographic material.,"Safe synthetic visual description for the Graphic, Obscene & Sexual Content policy category. No raw harmful media is stored.","Graphic, Obscene & Sexual Content",High,Flag and send for human review,True,True,"The content contains indicators of Graphic, Obscene & Sexual Content, but the final enforcement decision requires human review.",2026.08
IMA-0121,image,sample_image_0121.jpg,A person sends sexually explicit messages after being asked to stop.,,Safe synthetic visual description for the Sexual Harassment policy category. No raw harmful media is stored.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
IMA-0122,image,sample_image_0122.png,A person threatens to share private messages to embarrass someone.,A person threatens to share private messages to embarrass someone.,Safe synthetic visual description for the Cyberbullying & Harassment policy category. No raw harmful media is stored.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
IMA-0123,image,sample_image_0123.webp,A hidden-camera recording shows a person's private moment.,A hidden-camera recording shows a person's private moment.,Safe synthetic visual description for the Invasion of Privacy policy category. No raw harmful media is stored.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
IMA-0124,image,sample_image_0124.jpg,A user advertises a gun for sale without a license.,A user advertises a gun for sale without a license.,Safe synthetic visual description for the Illegal Activities policy category. No raw harmful media is stored.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
IMA-0125,image,sample_image_0125.png,A user leaks another person's private email address and phone number.,,Safe synthetic visual description for the Publishing Private Information policy category. No raw harmful media is stored.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
IMA-0126,image,sample_image_0126.webp,A user operates an account using another person's stolen identity.,A user operates an account using another person's stolen identity.,Safe synthetic visual description for the Identity Theft & Impersonation policy category. No raw harmful media is stored.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
IMA-0127,image,sample_image_0127.jpg,The post promotes a false medical claim as a confirmed cure.,The post promotes a false medical claim as a confirmed cure.,Safe synthetic visual description for the Misinformation & Fake News policy category. No raw harmful media is stored.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
IMA-0128,image,sample_image_0128.png,An unsolicited promotion promises guaranteed income and requests a fee.,An unsolicited promotion promises guaranteed income and requests a fee.,"Safe synthetic visual description for the Spam, Scam & Phishing policy category. No raw harmful media is stored.","Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
IMA-0129,image,sample_image_0129.webp,A user sells unauthorized copies of copyrighted software.,,Safe synthetic visual description for the Intellectual Property Infringement policy category. No raw harmful media is stored.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
IMA-0130,image,sample_image_0130.jpg,A user shares a phishing kit for stealing account credentials.,A user shares a phishing kit for stealing account credentials.,Safe synthetic visual description for the Malicious Programs policy category. No raw harmful media is stored.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
IMA-0131,image,sample_image_0131.png,A user repeatedly describes another person as worthless and pathetic.,A user repeatedly describes another person as worthless and pathetic.,Safe synthetic visual description for the Abusive Words policy category. No raw harmful media is stored.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
IMA-0132,image,sample_image_0132.webp,A user asks a minor to move to a private app and not tell their parents.,A user asks a minor to move to a private app and not tell their parents.,Safe synthetic visual description for the Child Exploitation policy category. No raw harmful media is stored.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
IMA-0133,image,sample_image_0133.jpg,A museum description discusses a classical nude sculpture.,,Safe synthetic visual description for the Normal/Ignore policy category. No raw harmful media is stored.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
IMA-0134,image,sample_image_0134.png,The content celebrates damage to a place of worship.,The content celebrates damage to a place of worship.,Safe synthetic visual description for the Religiously Offensive Content policy category. No raw harmful media is stored.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
IMA-0135,image,sample_image_0135.webp,The content describes an ethnic group as not human.,The content describes an ethnic group as not human.,Safe synthetic visual description for the Hate Speech & Discrimination policy category. No raw harmful media is stored.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
IMA-0136,image,sample_image_0136.jpg,A user provides instructions intended to support a terrorist attack.,A user provides instructions intended to support a terrorist attack.,Safe synthetic visual description for the Terrorism & Extremism policy category. No raw harmful media is stored.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
IMA-0137,image,sample_image_0137.png,A user says they are going to stab a specific person.,,Safe synthetic visual description for the Violent Content policy category. No raw harmful media is stored.,Violent Content,High,Flag and send for human review,True,True,"The content contains indicators of Violent Content, but the final enforcement decision requires human review.",2026.08
IMA-0138,image,sample_image_0138.webp,A user encourages another person to physically harm themselves.,A user encourages another person to physically harm themselves.,Safe synthetic visual description for the Dangerous Content policy category. No raw harmful media is stored.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
IMA-0139,image,sample_image_0139.jpg,The content contains a morphed sexual image of an adult.,The content contains a morphed sexual image of an adult.,"Safe synthetic visual description for the Graphic, Obscene & Sexual Content policy category. No raw harmful media is stored.","Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
IMA-0140,image,sample_image_0140.png,The content threatens consequences unless a person agrees to sexual activity.,The content threatens consequences unless a person agrees to sexual activity.,Safe synthetic visual description for the Sexual Harassment policy category. No raw harmful media is stored.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
IMA-0141,image,sample_image_0141.webp,A user repeatedly pressures someone to provide their phone number.,,Safe synthetic visual description for the Cyberbullying & Harassment policy category. No raw harmful media is stored.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
IMA-0142,image,sample_image_0142.jpg,A person reports that their private photograph was uploaded without consent.,A person reports that their private photograph was uploaded without consent.,Safe synthetic visual description for the Invasion of Privacy policy category. No raw harmful media is stored.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
IMA-0143,image,sample_image_0143.png,The content promotes an illegal foreign gambling website.,The content promotes an illegal foreign gambling website.,Safe synthetic visual description for the Illegal Activities policy category. No raw harmful media is stored.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
IMA-0144,image,sample_image_0144.webp,The image contains an unredacted bank account statement.,The image contains an unredacted bank account statement.,Safe synthetic visual description for the Publishing Private Information policy category. No raw harmful media is stored.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
IMA-0145,image,sample_image_0145.jpg,The profile impersonates a public figure without a parody label.,,Safe synthetic visual description for the Identity Theft & Impersonation policy category. No raw harmful media is stored.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
IMA-0146,image,sample_image_0146.png,A fake election result is presented as an official announcement.,A fake election result is presented as an official announcement.,Safe synthetic visual description for the Misinformation & Fake News policy category. No raw harmful media is stored.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
IMA-0147,image,sample_image_0147.webp,A repeated message tells users to click a suspicious payment link.,A repeated message tells users to click a suspicious payment link.,"Safe synthetic visual description for the Spam, Scam & Phishing policy category. No raw harmful media is stored.","Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
IMA-0148,image,sample_image_0148.jpg,The message provides an illegal download of copyrighted material.,The message provides an illegal download of copyrighted material.,Safe synthetic visual description for the Intellectual Property Infringement policy category. No raw harmful media is stored.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
IMA-0149,image,sample_image_0149.png,The instructions tell users to disable antivirus and install a trojan.,,Safe synthetic visual description for the Malicious Programs policy category. No raw harmful media is stored.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
IMA-0150,image,sample_image_0150.webp,The comment contains obfuscated abusive words directed at an individual.,The comment contains obfuscated abusive words directed at an individual.,Safe synthetic visual description for the Abusive Words policy category. No raw harmful media is stored.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
IMA-0151,image,sample_image_0151.jpg,The content describes physical harm being directed at a child.,The content describes physical harm being directed at a child.,Safe synthetic visual description for the Child Exploitation policy category. No raw harmful media is stored.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
IMA-0152,image,sample_image_0152.png,A medical lesson contains a non-explicit anatomy illustration.,A medical lesson contains a non-explicit anatomy illustration.,Safe synthetic visual description for the Normal/Ignore policy category. No raw harmful media is stored.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
IMA-0153,image,sample_image_0153.webp,A post tells users to burn another community's religious book.,,Safe synthetic visual description for the Religiously Offensive Content policy category. No raw harmful media is stored.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
IMA-0154,image,sample_image_0154.jpg,A post says that a protected group is inferior.,A post says that a protected group is inferior.,Safe synthetic visual description for the Hate Speech & Discrimination policy category. No raw harmful media is stored.,Hate Speech & Discrimination,High,Flag and send for human review,True,True,"The content contains indicators of Hate Speech & Discrimination, but the final enforcement decision requires human review.",2026.08
IMA-0155,image,sample_image_0155.png,A post praises a banned terrorist organization and asks users to join.,A post praises a banned terrorist organization and asks users to join.,Safe synthetic visual description for the Terrorism & Extremism policy category. No raw harmful media is stored.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
IMA-0156,image,sample_image_0156.webp,A person sends the direct threat: I will kill you tonight.,A person sends the direct threat: I will kill you tonight.,Safe synthetic visual description for the Violent Content policy category. No raw harmful media is stored.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
IMA-0157,image,sample_image_0157.jpg,The video tells viewers to try a dangerous stunt without safety equipment.,,Safe synthetic visual description for the Dangerous Content policy category. No raw harmful media is stored.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
IMA-0158,image,sample_image_0158.png,The content contains explicit adult sexual imagery.,The content contains explicit adult sexual imagery.,"Safe synthetic visual description for the Graphic, Obscene & Sexual Content policy category. No raw harmful media is stored.","Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
IMA-0159,image,sample_image_0159.webp,A user repeatedly demands that another person send nude pictures.,A user repeatedly demands that another person send nude pictures.,Safe synthetic visual description for the Sexual Harassment policy category. No raw harmful media is stored.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
IMA-0160,image,sample_image_0160.jpg,A user repeatedly tells another person that they are worthless.,A user repeatedly tells another person that they are worthless.,Safe synthetic visual description for the Cyberbullying & Harassment policy category. No raw harmful media is stored.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
IMA-0161,image,sample_image_0161.png,A private video was secretly recorded and shared without consent.,,Safe synthetic visual description for the Invasion of Privacy policy category. No raw harmful media is stored.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
IMA-0162,image,sample_image_0162.webp,A post offers illegal drugs for sale.,A post offers illegal drugs for sale.,Safe synthetic visual description for the Illegal Activities policy category. No raw harmful media is stored.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
IMA-0163,image,sample_image_0163.jpg,A post exposes another person's Aadhaar card number without permission.,A post exposes another person's Aadhaar card number without permission.,Safe synthetic visual description for the Publishing Private Information policy category. No raw harmful media is stored.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
IMA-0164,image,sample_image_0164.png,An account impersonates a bank representative to deceive customers.,An account impersonates a bank representative to deceive customers.,Safe synthetic visual description for the Identity Theft & Impersonation policy category. No raw harmful media is stored.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
IMA-0165,image,sample_image_0165.webp,A fabricated report presents a made-up public event as fact.,,Safe synthetic visual description for the Misinformation & Fake News policy category. No raw harmful media is stored.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
IMA-0166,image,sample_image_0166.jpg,URGENT! Claim your prize now by sending your OTP on WhatsApp.,URGENT! Claim your prize now by sending your OTP on WhatsApp.,"Safe synthetic visual description for the Spam, Scam & Phishing policy category. No raw harmful media is stored.","Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
IMA-0167,image,sample_image_0167.png,A post distributes a pirated movie download without authorization.,A post distributes a pirated movie download without authorization.,Safe synthetic visual description for the Intellectual Property Infringement policy category. No raw harmful media is stored.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
IMA-0168,image,sample_image_0168.webp,A post provides a link to download credential-stealing malware.,A post provides a link to download credential-stealing malware.,Safe synthetic visual description for the Malicious Programs policy category. No raw harmful media is stored.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
IMA-0169,image,sample_image_0169.jpg,A user directly tells another person: you are a disgusting idiot.,,Safe synthetic visual description for the Abusive Words policy category. No raw harmful media is stored.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
IMA-0170,image,sample_image_0170.png,An adult asks a minor to keep their private conversation secret.,An adult asks a minor to keep their private conversation secret.,Safe synthetic visual description for the Child Exploitation policy category. No raw harmful media is stored.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
IMA-0171,image,sample_image_0171.webp,A news report discusses violence without showing graphic imagery.,A news report discusses violence without showing graphic imagery.,Safe synthetic visual description for the Normal/Ignore policy category. No raw harmful media is stored.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
IMA-0172,image,sample_image_0172.jpg,The message encourages people to destroy a religious symbol.,The message encourages people to destroy a religious symbol.,Safe synthetic visual description for the Religiously Offensive Content policy category. No raw harmful media is stored.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
IMA-0173,image,sample_image_0173.png,The message calls for a religious group to be excluded from society.,,Safe synthetic visual description for the Hate Speech & Discrimination policy category. No raw harmful media is stored.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
IMA-0174,image,sample_image_0174.webp,The message requests donations for a terrorist organization.,The message requests donations for a terrorist organization.,Safe synthetic visual description for the Terrorism & Extremism policy category. No raw harmful media is stored.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
IMA-0175,image,sample_image_0175.jpg,The content graphically depicts a person being tortured.,The content graphically depicts a person being tortured.,Safe synthetic visual description for the Violent Content policy category. No raw harmful media is stored.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
IMA-0176,image,sample_image_0176.png,A post encourages users to jump from a roof as part of a challenge.,A post encourages users to jump from a roof as part of a challenge.,Safe synthetic visual description for the Dangerous Content policy category. No raw harmful media is stored.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
IMA-0177,image,sample_image_0177.webp,The image description indicates visible genitalia outside an allowed context.,,"Safe synthetic visual description for the Graphic, Obscene & Sexual Content policy category. No raw harmful media is stored.","Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
IMA-0178,image,sample_image_0178.jpg,The message contains an unwanted request for a sexual favour.,The message contains an unwanted request for a sexual favour.,Safe synthetic visual description for the Sexual Harassment policy category. No raw harmful media is stored.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
IMA-0179,image,sample_image_0179.png,Several accounts coordinate to publicly humiliate one individual.,Several accounts coordinate to publicly humiliate one individual.,Safe synthetic visual description for the Cyberbullying & Harassment policy category. No raw harmful media is stored.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
IMA-0180,image,sample_image_0180.webp,The content contains a leaked intimate video posted without consent.,The content contains a leaked intimate video posted without consent.,Safe synthetic visual description for the Invasion of Privacy policy category. No raw harmful media is stored.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
IMA-0181,image,sample_image_0181.jpg,The message advertises an unapproved medicine as a guaranteed cure.,,Safe synthetic visual description for the Illegal Activities policy category. No raw harmful media is stored.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
IMA-0182,image,sample_image_0182.png,The content publishes someone's credit card number and contact details.,The content publishes someone's credit card number and contact details.,Safe synthetic visual description for the Publishing Private Information policy category. No raw harmful media is stored.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
IMA-0183,image,sample_image_0183.webp,A fake customer-support profile pretends to represent a company.,A fake customer-support profile pretends to represent a company.,Safe synthetic visual description for the Identity Theft & Impersonation policy category. No raw harmful media is stored.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
IMA-0184,image,sample_image_0184.jpg,A manipulated headline makes a claim unsupported by the article.,A manipulated headline makes a claim unsupported by the article.,Safe synthetic visual description for the Misinformation & Fake News policy category. No raw harmful media is stored.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
IMA-0185,image,sample_image_0185.png,A fake banking message asks the recipient to share their password.,,"Safe synthetic visual description for the Spam, Scam & Phishing policy category. No raw harmful media is stored.","Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
IMA-0186,image,sample_image_0186.webp,The content offers counterfeit products using a protected trademark.,The content offers counterfeit products using a protected trademark.,Safe synthetic visual description for the Intellectual Property Infringement policy category. No raw harmful media is stored.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
IMA-0187,image,sample_image_0187.jpg,The content distributes a ransomware payload intended to compromise devices.,The content distributes a ransomware payload intended to compromise devices.,Safe synthetic visual description for the Malicious Programs policy category. No raw harmful media is stored.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
IMA-0188,image,sample_image_0188.png,The message calls a targeted person a stupid loser and piece of trash.,The message calls a targeted person a stupid loser and piece of trash.,Safe synthetic visual description for the Abusive Words policy category. No raw harmful media is stored.,Abusive Words,Medium,Flag and send for human review,True,True,"The content contains indicators of Abusive Words, but the final enforcement decision requires human review.",2026.08
